Id,Team 1,Team 2,Winner,Margin,win_by_run,win_by_wicket,Ground,Match Date,Scorecard
28,South Africa,India,South Africa,5 wickets,,5 wickets,Johannesburg,10-Feb-18,ODI # 3973
29,Afghanistan,Zimbabwe,Zimbabwe,154 runs,154 runs,,Sharjah,11-Feb-18,ODI # 3974
30,Afghanistan,Zimbabwe,Afghanistan,6 wickets,,6 wickets,Sharjah,13-Feb-18,ODI # 3975
31,South Africa,India,India,73 runs,73 runs,,Port Elizabeth,13-Feb-18,ODI # 3976
32,Afghanistan,Zimbabwe,Afghanistan,10 wickets,,10 wickets,Sharjah,16-Feb-18,ODI # 3977
33,South Africa,India,India,8 wickets,,8 wickets,Centurion,16-Feb-18,ODI # 3978
34,Afghanistan,Zimbabwe,Afghanistan,146 runs,146 runs,,Sharjah,19-Feb-18,ODI # 3979
35,New Zealand,England,New Zealand,3 wickets,,3 wickets,Hamilton,25-Feb-18,ODI # 3980
36,New Zealand,England,England,6 wickets,,6 wickets,Mount Maunganui,28-Feb-18,ODI # 3981
37,New Zealand,England,England,4 runs,4 runs,,Wellington,3-Mar-18,ODI # 3982
38,Afghanistan,Scotland,Scotland,7 wickets,,7 wickets,Bulawayo,4-Mar-18,ODI # 3983
39,P.N.G.,U.A.E.,U.A.E.,56 runs,56 runs,,Harare,4-Mar-18,ODI # 3984
40,Hong Kong,Scotland,Scotland,4 wickets,,4 wickets,Bulawayo,6-Mar-18,ODI # 3985
41,Ireland,P.N.G.,Ireland,4 wickets,,4 wickets,Harare,6-Mar-18,ODI # 3986
42,U.A.E.,West Indies,West Indies,60 runs,60 runs,,Harare,6-Mar-18,ODI # 3987
43,Zimbabwe,Afghanistan,Zimbabwe,2 runs,2 runs,,Bulawayo,6-Mar-18,ODI # 3988
44,New Zealand,England,New Zealand,5 wickets,,5 wickets,Dunedin,7-Mar-18,ODI # 3989
45,Afghanistan,Hong Kong,Hong Kong,30 runs,30 runs,,Bulawayo,8-Mar-18,ODI # 3990
46,P.N.G.,West Indies,West Indies,6 wickets,,6 wickets,Harare,8-Mar-18,ODI # 3991
47,New Zealand,England,England,7 wickets,,7 wickets,Christchurch,10-Mar-18,ODI # 3992
